"﻿""Compétition""";Phase;Date;Heure;Lieu;Rencontre;Arbitre principal;Juge de ligne;Arbitre;Superviseur;Arbitre principal 2;Juge de ligne 2;Arbitre 2
Matchs amicaux SLM senior;Matchs amicaux SLM;11/08/2023;20:45;Chamonix - Richard Bozon;82005S - CHAMONIX SLM / 82007S - BRULEURS DE LOUPS MAGNUS SENIORS;M BARCELO Geoffrey;Mme CHEYROUX Alexia;;;M ICARD Damien;M BRIOLAT Eric;
Matchs amicaux U20;Matchs amicaux U20;12/08/2023;18:00;Cergy - Aren'Ice;11111 - EDF U20 / 11013S - LES JOKERS SLM;M FURET Yann;M SIMON Thomas;;;;M LABOULAIS Maxime;
Matchs amicaux SLM senior;Matchs amicaux SLM;15/08/2023;15:00;Rouen - Île Lacroix;23001S - 23001S ROUEN HOCKEY ELITE 76 / 11013S - LES JOKERS SLM;M BOURREAU Alexandre;M LABOULAIS Maxime;;;M PEYRE Julien;M DOUCHY Jérémie;
Matchs amicaux SLM senior;Matchs amicaux SLM;16/08/2023;20:00;Chamonix - Richard Bozon;82005S - CHAMONIX SLM / 11111 - Martigny CH;M SCOLARI Benjamin;Mme CHEYROUX Alexia;;;M PEURIERE Frédéric;Mme BONIFACE Anne-Sophie;
Matchs amicaux U17;Matchs amicaux U17;18/08/2023;14:00;Saint-Gervais;E0003 - HC74 U17 Elite / 82007 - BRÛLEURS DE LOUPS U17 ELITE;M GRABIT Alexis;M BERGAMELLI Viny;;;;M BAUDRY Florian;
Matchs amicaux U17;Matchs amicaux U17;18/08/2023;16:30;Saint-Gervais;23001 - Rouen U17 / 82022 - 82022 LES OURS DE VILLARD DE LANS;M ROBERT Florian;M BERGAMELLI Enzo;;;;M DONAT-MAGNIN Alexandre;
Matchs amicaux SLM senior;Matchs amicaux SLM;18/08/2023;20:30;Gap - Alp'Arena;93006S - RAPACES DE GAP / 93019S - MARSEILLE HOCKEY CLUB;M SCOLARI Benjamin;M GIELLY Guillaume;;;M ICARD Damien;M BRIOLAT Eric;
Matchs amicaux U17;Matchs amicaux U17;19/08/2023;14:00;Saint-Gervais;82007 - BRÛLEURS DE LOUPS U17 ELITE / 23001 - Rouen U17;M ICARD Damien;M BERGAMELLI Enzo;;;;M NEURAZ Steven;
Matchs amicaux U17;Matchs amicaux U17;19/08/2023;16:30;Saint-Gervais;E0003 - HC74 U17 Elite / 82022 - 82022 LES OURS DE VILLARD DE LANS;M GRABIT Alexis;M BERGAMELLI Viny;;;;M DONAT-MAGNIN Alexandre;
Matchs amicaux U17;Matchs amicaux U17;20/08/2023;09:00;Saint-Gervais;82007 - BRÛLEURS DE LOUPS U17 ELITE / 82022 - 82022 LES OURS DE VILLARD DE LANS;M GONCALVES Clément;M BERGAMELLI Enzo;;;;M DONAT-MAGNIN Alexandre;
Matchs amicaux U17;Matchs amicaux U17;20/08/2023;11:30;Saint-Gervais;E0003 - HC74 U17 Elite / 23001 - Rouen U17;M GERMANEAUD Bastien;M BERGAMELLI Viny;;;;M NEURAZ Steven;
Matchs amicaux SLM senior;Matchs amicaux SLM;22/08/2023;20:00;Rouen - Île Lacroix;23001S - 23001S ROUEN HOCKEY ELITE 76 / 52007S - 52007S LES DUCS D'ANGERS;M FURET Yann;M LABOULAIS Maxime;;;M CREGUT Nicolas;M YSSEMBOURG Joffrey;
Matchs amicaux SLM senior;Matchs amicaux SLM;22/08/2023;20:00;Briançon - René Froger;93003S - Diables Rouges Briançon 93003 / 93006S - RAPACES DE GAP;M SCOLARI Benjamin;M BRIOLAT Eric;;;M FROSSARD Philippe;Mme CHEYROUX Alexia;
